,event_name,video_id,title,url_thumb,tags,view_count,like_count,dislike_count,comment_count,created,blurriness,brightness,contrast,overexposure,entropy,avg_color,word_count,punctuation_count,character_count,google_hits,sentiment_vader,sentiment_blob_polarity,sentiment_blob_subjectivity
217,TEDxRiodelaPlataED2015,09765645-4f7a-4713-99a5-b1e45e5b6b9e,"Historias del pasado, experiencias del presente | Alvaro Liuzzi | TEDxRiodelaPlataED",https://i.ytimg.com/vi/a4h6M7qYwfY/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Education,Ancient world,Anthropology,Communication,Creativity,Culture,Data,Digital,History,Ideas,Impact,Innovation,Internet,Journalism,Media,Multimedia,Research,Social Interaction,Social Media,Time,Visualization,Usina del Arte,",5673,45,0,2,2017-10-06 13:55:19,492.18592206784155,0.17639173719618034,0.0,0.0,3.7456682977753837,"(53.729375, 41.823877314814816, 42.99945023148148)",9,3,84,6670,0.0,0.0,0.0
218,TEDxRiodelaPlata2016,6bee4e8e-634f-4f15-a908-58916d88634f,TEDxperiments | El Gato y la Caja | TEDxRíodelaPlata,https://i.ytimg.com/vi/XcUlIkyGZyg/hqdefault.jpg,TEDx,5456,121,18,28,2017-11-21 18:56:42,439.96257603291093,0.17249150028935195,0.0,0.0,4.1944440551351345,"(62.16846643518519, 36.64061921296296, 39.16337384259259)",7,2,52,47700000,0.0,0.0,0.0
219,TEDxRiodelaPlata2011,f37ee0f2-72f5-458a-b13b-f5065905c7e7,Mis alumnos y las calles del pueblo | Miguel Ángel Risso Patrón | TEDxRíodelaPlata,https://i.ytimg.com/vi/2iWuWJkdgSk/hqdefault.jpg,"ted,Community,ted talks,Argentina,Activism,Education,tedx talk,Participación,Spanish,Escuela de Tucumán,Planificación,Español,tedx talks,ted talk,TEDxRíodelaPlata,ted x,Educación,Comunidad,Activismo,tedx",5400,25,1,2,2017-09-13 14:02:57,991.97125306713,0.41486145019531295,0.0,0.0,4.663651277359215,"(99.19069444444445, 109.50776041666667, 111.09007523148148)",12,2,82,7550,0.0,0.0,0.0
220,TEDxRiodelaPlata2017,ded646c5-a417-4a9e-8721-e585a95a2b33,Inteligencia Artificial: ¿Amiga o Enemiga? | Diego Fernández Slezak | TEDxRiodelaPlata,https://i.ytimg.com/vi/znq3ql6wqnE/hqdefault.jpg,"TEDxTalks,Spanish,Technology,AI,Medicine,Science",5038,84,4,12,2017-12-11 20:18:45,110.28755787037036,0.1227722394024885,0.0,0.0,3.2591247816967033,"(63.06450810185185, 17.206869212962964, 25.26195023148148)",9,4,86,1870,0.0,-0.6,1.0
221,TEDxRiodelaPlata2011,52523f1e-8cf1-40c0-95b4-ecb9fd7c9b49,Un alma para la web | Eduardo Lazzati | TEDxRíodelaPlata,https://i.ytimg.com/vi/fLnvMfkDEBI/hqdefault.jpg,"Artificial intelligence,ted,TEDxRíodelaPlata,Spanish,tedx talks,Discapacidad,Ciencia,tedx talk,ted x,Español,ted talks,tedx,Salud,Inteligencia artificial,Jorge Rivas,Argentina,ted talk,Tecnología,Handicap,Asperger,Technology,Science,Health",4966,44,3,2,2017-09-13 13:55:19,926.3931571523455,0.2774727376302084,0.0,0.0,4.218531786349834,"(75.45328703703704, 69.91240740740741, 68.30209490740741)",8,2,56,8480,0.0,0.0,0.0
222,TEDxRiodelaPlata2014,361e568c-b805-423f-bb78-b97748d2c3ae,Decirnos la verdad en público | Julio Aranovich | TEDxRiodelaPlata,https://i.ytimg.com/vi/E8jwBBM7ujQ/hqdefault.jpg,"Discurso público,Culture,Social Media,Sociology,Argentina,Spanish,Chequeado,tedx talk,Social Science,ted x,tedx talks,ted talk,ted,Verificación,ted talks,tedx,Factchecking,Politics,Journalism,TEDxTalks,Verdad,Chequeado.com",4774,29,0,0,2017-10-06 13:55:00,395.72226797589065,0.19624565972222202,0.0,0.0,3.9243755701881913,"(48.80355324074074, 49.77263310185185, 59.604427083333334)",8,2,66,314,0.0,0.0,0.0
223,TEDxRiodelaPlata2012,c0206d49-f577-4018-b51e-5f93713d4175,Le Freak Selector Reactable | Electroarte | TEDxRiodelaPlata,https://i.ytimg.com/vi/mZZJdSqUfYM/hqdefault.jpg,"tedx,Innovation,TEDxRíodelaPlata,Reactable Set,Música,LeFreak Selector,ted talks,tedx talk,Entertainment,Argentina,Electroarte,tedx talks,TEDxRiodelaPlata,Performance,Spanish,ted,Music,TEDx,Español,ted x,ted talk,Entretenimiento,Innovación",4768,22,2,3,2017-09-13 14:20:20,1071.4890636609646,0.11789709020543976,0.0,0.0,3.7661497957433303,"(49.43719328703704, 20.496006944444446, 32.69706597222222)",6,2,60,7600,-0.4404,0.0,0.0
224,TEDxRiodelaPlata2017,8cf3cfae-42c6-4aea-889d-9f7b8ce4831c,El fin del efectivo | Demian Reidel | TEDxRiodelaPlata,https://i.ytimg.com/vi/5LJJoOHX_nY/hqdefault.jpg,"TEDxTalks,Spanish,Social Science,Corruption,Economics,Finance,Money,Public Policy,Technology",4727,71,14,6,2017-11-30 20:00:03,259.58967010941416,0.24674922236689825,0.0,0.0,4.075123117874396,"(93.4897974537037, 50.000625, 55.42583333333334)",7,2,54,17500,0.0,0.0,0.0
225,TEDxRiodelaPlata2011,a43337f5-f0fd-40fa-8c15-bdaa187559e4,Everything she does is magic: VoxPop at TEDxRíodelaPlata,https://i.ytimg.com/vi/DrmGcy2264c/hqdefault.jpg,"VoxPop,tedx talk,Entretenimiento,TEDxRíodelaPlata,Entertainment,Español,Spanish,ted talk,ted,Grupo vocal,ted x,Performance,tedx talks,tedx,ted talks,Music,Argentina,Música",4551,23,0,0,2017-09-13 14:05:05,809.0222045491199,0.18125863534432843,0.0,0.0,4.285786237867935,"(52.841956018518516, 45.01045717592593, 40.03407986111111)",8,1,56,97,0.0,0.5,1.0
226,TEDxRiodelaPlata2017,969f9f2d-deef-4776-979d-853c01ce1652,Los derechos no se mendigan | Julieta Lanteri | TEDxJoven@RíodelaPlata,https://i.ytimg.com/vi/tNahelfTixU/hqdefault.jpg,"TEDxTalks,Spanish,Global Issues,Activism,Change,Culture,Decision making,Democracy,Discrimination,Gender,Hack,History,Women's Rights",4527,129,4,7,2017-11-21 18:35:11,263.2638425925926,0.17221722638165526,0.0,0.0,3.1327618595859095,"(64.15342592592593, 34.73543981481482, 43.72264467592593)",9,3,70,30400,-0.296,0.0,0.0
